bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1Cw4m1U7vT,23947287,苏联的“880先生”是谁？【硬核狠人68】,人文历史,2024-05-23 11:00:00,4306487,29510,8067,54992,156028,11178,275081
BV1Gm421g7Sy,23947287,敲诈海军部长分几步？【硬核狠人67】,人文历史,2024-05-17 11:00:00,3441765,21376,6262,33392,93236,4721,220376
BV18J4m1n7To,23947287,被克格勃策反的理由可以有多离谱？【硬核狠人66】,人文历史,2024-05-06 11:00:00,4998648,31145,7166,50277,131870,14927,284263
BV1jz421C7Js,23947287,苏联人如何搞互联网？【神奇组织19】,人文历史,2024-04-13 11:00:00,5089018,41040,10317,64862,153426,15454,295264
BV13K421Y7GQ,23947287,谁是纳粹的石油杀手？【硬核狠人65】,人文历史,2024-04-05 11:00:00,4730064,25830,4472,43893,128500,5972,264064
BV1FC411L7Cq,23947287,什么组织能在苏联和克格勃斗法？（下）【神奇组织18】,人文历史,2024-03-29 17:00:00,4538195,28931,9266,42514,132159,7155,238508
BV1m1421Q7Ee,23947287,什么组织能在苏联和克格勃斗法？（上）【神奇组织17】,人文历史,2024-03-22 17:00:00,6091192,27849,9540,58635,151759,11868,281554
BV1JS421w7jT,23947287,在冰岛建党需要整什么活？【神奇组织16】,人文历史,2024-03-08 11:00:00,4804092,31857,6112,44701,127854,11497,265527
BV1ft421H7xk,23947287,美国禁酒探员能整出什么活？【硬核狠人64】,人文历史,2024-02-08 11:00:00,4735897,21669,3586,43963,122338,5532,278754
BV112421A7pE,23947287,全球最大酒店是谁开的？【小约翰】,人文历史,2024-02-06 11:00:00,4484487,18122,4241,37872,88638,6707,249582
BV1fT4y187kp,23947287,英国警察如何拖垮绑匪？【硬核狠人63】,人文历史,2024-01-19 11:00:00,5527122,26479,4402,48215,134726,6726,299214
BV18N4y1v7fw,23947287,世界上最贵的电影是哪国拍的？【神奇组织14】,人文历史,2024-01-12 11:00:00,5969910,49833,7650,66359,155388,19436,332991
BV14g4y1r71P,23947287,美国的整活大王是谁？【小约翰】,人文历史,2024-01-06 11:00:00,5073044,28230,4914,48483,113274,13161,296326
BV1MG411r7FZ,23947287,世界最穷国家是哪个？【奇葩小国50】,人文历史,2023-12-29 11:00:00,7591416,41324,14269,63949,188125,14503,366117
BV1DC4y1q7db,23947287,如何打造登月相机？【小约翰】,人文历史,2023-12-28 11:00:00,3620789,18032,4787,35768,96203,10702,227256
BV1gG411i7fJ,23947287,克格勃是怎么消失的？【神奇组织13】,人文历史,2023-12-09 11:00:00,6860709,26435,8330,62203,140820,11863,333069
BV1aG411i7zR,23947287,如何靠抢银行成为网红？【硬核狠人62】,人文历史,2023-12-01 11:00:00,5897180,30299,7364,52132,132392,15811,314574
BV16a4y1Q7by,23947287,三国灭爸为什么活不长？【小约翰】,人文历史,2023-11-10 11:00:00,8383103,29598,8845,81086,111596,18043,507867
BV1na4y1Q7bD,23947287,罗马教廷为何家里蹲？【神奇组织12】,人文历史,2023-11-08 17:48:20,5251198,23412,6084,37347,107538,6237,246767
BV16M411X7A6,23947287,印度公主如何成为英国特工？【硬核狠人60】,人文历史,2023-10-30 17:00:00,4523080,25313,7364,43087,132138,8716,272543
BV1Ez4y1F72a,23947287,谁成全了德军的“逃跑计划”？【神奇组织11】,人文历史,2023-10-09 11:00:00,6511335,22204,5222,48009,132166,8324,291663
BV1Wz4y1L7zE,23947287,“小塔乔”的资产有多少？【奇葩小国49】,人文历史,2023-09-22 11:00:00,6641238,37875,8854,36927,129510,7724,276169
BV1mk4y1w7ki,23947287,奥运会上最成功的失败者是谁？【硬核狠人59】,人文历史,2023-09-16 11:00:42,5166380,25860,5191,41135,117360,11847,265955
BV148411B7NK,23947287,007的原型是谁？【硬核狠人58】,人文历史,2023-09-07 11:00:00,6221367,23770,5907,58530,148219,10584,334079
BV1U94y147wU,23947287,“索尼”集团在美洲有什么业务？【奇葩小国48】,人文历史,2023-08-31 11:00:00,7154576,49235,8514,55653,179644,9274,333644
BV1kF411Z71o,23947287,加拿大如何被德军攻占？【神奇组织10】,人文历史,2023-08-12 11:00:00,5815308,34522,7259,50106,142573,12470,314318
BV1Yr4y1o7Km,23947287,英国越狱次数最多的士兵是谁？【硬核狠人56】,人文历史,2023-08-09 11:00:00,5423486,23106,5454,46195,134425,7196,323908
BV1dP411474Z,23947287,美国课堂能不能讲进化论？【神奇组织09】,人文历史,2023-08-04 11:00:00,5670080,36282,8525,47231,129887,9796,313925
BV1SN41127Tu,23947287,英国最执着的劫匪是谁？【硬核狠人55】,人文历史,2023-07-17 11:00:20,6945434,33846,10800,54271,148451,23909,373416
