bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1n442197Kx,10698584,一个视频看懂袁绍的崛起之路,人文历史,2024-06-13 18:00:00,155188,1213,507,2848,5113,256,10329
BV1cm421N75Y,10698584,让历史活过来：秦汉人民咋做饭！,人文历史,2024-05-30 17:48:50,90480,109,109,690,771,37,2447
BV16f421R7Vb,10698584,一个视频看懂宋襄公的一生,人文历史,2024-05-22 18:00:00,372561,2274,695,7317,8587,2439,16265
BV1kM4m1r7Gu,10698584,一个视频看懂陈平的一生,人文历史,2024-05-15 18:35:43,179618,131,146,1114,1738,86,3979
BV1cz421271A,10698584,让历史活过来：秦汉人民吃什么？,人文历史,2024-05-13 19:19:52,136459,131,173,798,1356,67,3700
BV1sm421u76U,10698584,一个视频看懂郑庄公的一生,人文历史,2024-05-10 19:35:44,895871,3899,935,10285,13167,795,48218
BV13J4m1H7f3,10698584,一个视频看懂班固的一生与《汉书》的诞生,人文历史,2024-04-19 18:00:00,430929,1698,665,4543,14841,513,19071
BV1dm421j7Jv,10698584,一个视频看懂战国七雄的路,人文历史,2024-04-15 20:47:51,335996,269,528,2168,3215,144,7741
BV17m421n7ip,10698584,一个视频看懂东汉巅峰永元之隆,人文历史,2024-03-26 18:27:46,578669,3570,1152,7708,23426,873,28712
BV1aZ421y7KT,10698584,一个视频看懂定远侯班超的一生,人文历史,2024-02-26 17:18:00,583974,5330,1516,10351,33204,2432,32883
BV13x4y1178T,10698584,一个视频看懂齐桓公的一生,人文历史,2024-02-05 18:02:45,820212,5565,937,10330,20951,1324,34071
BV1Xe411E7v5,10698584,一个视频看懂盐铁会议,人文历史,2024-01-26 18:00:00,799260,12850,2534,23195,30959,4043,38734
BV1P5411B7Pg,10698584,一个视频看懂汉明帝刘庄的一生,人文历史,2024-01-07 17:16:06,735215,4737,1582,8352,24225,1111,33258
BV1xa4y1o7Fc,10698584,一个视频看懂伯罗奔尼撒战争,人文历史,2023-12-01 19:07:01,463488,3843,1308,8724,18568,942,22841
BV1Zz4y1P7M7,10698584,一个视频看懂大秦宣太后的一生,人文历史,2023-10-31 18:52:42,648710,4476,1019,6080,15214,944,27116
BV1JQ4y1p7Su,10698584,一个视频看懂张角的一生,人文历史,2023-10-20 18:06:00,1159571,5892,1325,9671,15269,1098,36635
BV1PG41127at,10698584,一个视频看懂司马相如的一生,人文历史,2023-10-15 17:35:01,616870,4174,781,9544,20690,1179,30090
BV1d94y1a7CD,10698584,西汉拾遗：外戚专权背后的制度变迁,人文历史,2023-09-29 20:41:32,554998,1251,634,5909,13162,586,24260
BV12N4y1Z72W,10698584,报祥瑞，三个UP主要拍片了！一部短剧诞生的幕后,人文历史,2023-09-27 19:00:00,221182,569,756,963,3325,243,12524
BV1W84y1D74w,10698584,一个视频看懂伯里克利的一生,人文历史,2023-09-22 18:20:55,392424,3069,993,7383,17672,711,24497
BV1CP411Y7hk,10698584,战争序幕：伯罗奔尼撒战争前传,人文历史,2023-09-01 18:00:00,490462,2110,894,6108,16032,541,22863
BV1aw411S7Cr,10698584,百万粉丝牌开箱：把我的灵魂献给你,人文历史,2023-08-30 16:29:56,194804,2653,2130,1721,12490,390,20622
